,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
0,2103158,CENTRO DO GUILHERME,Centro do Guilherme,MA
1,2103174,CENTRO NOVO DO MARANHAO,Centro Novo do Maranhão,MA
2,2103208,CHAPADINHA,Chapadinha,MA
3,2103257,CIDELANDIA,Cidelândia,MA
4,2103307,CODO,Codó,MA
5,2103406,COELHO NETO,Coelho Neto,MA
6,2103505,COLINAS,Colinas,MA
7,2103554,CONCEICAO DO LAGO-ACU,Conceição do Lago-Açu,MA
8,2103604,COROATA,Coroatá,MA
9,2103703,CURURUPU,Cururupu,MA
10,2103752,DAVINOPOLIS,Davinópolis,MA
11,2103802,DOM PEDRO,Dom Pedro,MA
12,2103901,DUQUE BACELAR,Duque Bacelar,MA
13,2104008,ESPERANTINOPOLIS,Esperantinópolis,MA
14,2104057,ESTREITO,Estreito,MA
15,2104073,FEIRA NOVA DO MARANHAO,Feira Nova do Maranhão,MA
16,2104081,FERNANDO FALCAO,Fernando Falcão,MA
17,2104099,FORMOSA DA SERRA NEGRA,Formosa da Serra Negra,MA
18,2104107,FORTALEZA DOS NOGUEIRAS,Fortaleza dos Nogueiras,MA
19,2104206,FORTUNA,Fortuna,MA
20,2104305,GODOFREDO VIANA,Godofredo Viana,MA
21,2104404,GONCALVES DIAS,Gonçalves Dias,MA
22,2104503,GOVERNADOR ARCHER,Governador Archer,MA
23,2104552,GOVERNADOR EDISON LOBAO,Governador Edison Lobão,MA
24,2104602,GOVERNADOR EUGENIO BARROS,Governador Eugênio Barros,MA
25,2104628,GOVERNADOR LUIZ ROCHA,Governador Luiz Rocha,MA
26,2104651,GOVERNADOR NEWTON BELLO,Governador Newton Bello,MA
27,2104677,GOVERNADOR NUNES FREIRE,Governador Nunes Freire,MA
28,2104701,GRACA ARANHA,Graça Aranha,MA
29,2104800,GRAJAU,Grajaú,MA
30,2104909,GUIMARAES,Guimarães,MA
31,2105005,HUMBERTO DE CAMPOS,Humberto de Campos,MA
32,2105104,ICATU,Icatu,MA
33,2105153,IGARAPE DO MEIO,Igarapé do Meio,MA
34,2105203,IGARAPE GRANDE,Igarapé Grande,MA
35,2105302,IMPERATRIZ,Imperatriz,MA
36,2105351,ITAIPAVA DO GRAJAU,Itaipava do Grajaú,MA
37,2105401,ITAPECURU MIRIM,Itapecuru Mirim,MA
38,2105427,ITINGA DO MARANHAO,Itinga do Maranhão,MA
39,2105450,JATOBA,Jatobá,MA
40,2105476,JENIPAPO DOS VIEIRAS,Jenipapo dos Vieiras,MA
41,2105500,JOAO LISBOA,João Lisboa,MA
42,2105609,JOSELANDIA,Joselândia,MA
43,2105658,JUNCO DO MARANHAO,Junco do Maranhão,MA
44,2105708,LAGO DA PEDRA,Lago da Pedra,MA
45,2105807,LAGO DO JUNCO,Lago do Junco,MA
46,2105906,LAGO VERDE,Lago Verde,MA
47,2105922,LAGOA DO MATO,Lagoa do Mato,MA
48,2105948,LAGO DOS RODRIGUES,Lago dos Rodrigues,MA
49,2105963,LAGOA GRANDE DO MARANHAO,Lagoa Grande do Maranhão,MA
50,2105989,LAJEADO NOVO,Lajeado Novo,MA
51,2106003,LIMA CAMPOS,Lima Campos,MA
52,2106102,LORETO,Loreto,MA
53,2106201,LUIS DOMINGUES,Luís Domingues,MA
54,2106300,MAGALHAES DE ALMEIDA,Magalhães de Almeida,MA
55,2106326,MARACACUME,Maracaçumé,MA
56,2106359,MARAJA DO SENA,Marajá do Sena,MA
57,2106375,MARANHAOZINHO,Maranhãozinho,MA
58,2106409,MATA ROMA,Mata Roma,MA
59,2106508,MATINHA,Matinha,MA
60,2106607,MATOES,Matões,MA
61,2106631,MATOES DO NORTE,Matões do Norte,MA
62,2106672,MILAGRES DO MARANHAO,Milagres do Maranhão,MA
63,2106706,MIRADOR,Mirador,MA
64,2106755,MIRANDA DO NORTE,Miranda do Norte,MA
65,2106805,MIRINZAL,Mirinzal,MA
66,2106904,MONCAO,Monção,MA
67,2107001,MONTES ALTOS,Montes Altos,MA
68,2107100,MORROS,Morros,MA
69,2107209,NINA RODRIGUES,Nina Rodrigues,MA
70,2107258,NOVA COLINAS,Nova Colinas,MA
71,2107308,NOVA IORQUE,Nova Iorque,MA
72,2107357,NOVA OLINDA DO MARANHAO,Nova Olinda do Maranhão,MA
73,2107407,OLHO D'AGUA DAS CUNHAS,Olho d'Água das Cunhãs,MA
74,2107456,OLINDA NOVA DO MARANHAO,Olinda Nova do Maranhão,MA
