,codigo_ibge,nome_municipio,nome_uf
0,2103158,Centro do Guilherme,MA
1,2103174,Centro Novo do Maranhão,MA
2,2103208,Chapadinha,MA
3,2103257,Cidelândia,MA
4,2103307,Codó,MA
5,2103406,Coelho Neto,MA
6,2103505,Colinas,MA
7,2103554,Conceição do Lago-Açu,MA
8,2103604,Coroatá,MA
9,2103703,Cururupu,MA
10,2103752,Davinópolis,MA
11,2103802,Dom Pedro,MA
12,2103901,Duque Bacelar,MA
13,2104008,Esperantinópolis,MA
14,2104057,Estreito,MA
15,2104073,Feira Nova do Maranhão,MA
16,2104081,Fernando Falcão,MA
17,2104099,Formosa da Serra Negra,MA
18,2104107,Fortaleza dos Nogueiras,MA
19,2104206,Fortuna,MA
20,2104305,Godofredo Viana,MA
21,2104404,Gonçalves Dias,MA
22,2104503,Governador Archer,MA
23,2104552,Governador Edison Lobão,MA
24,2104602,Governador Eugênio Barros,MA
25,2104628,Governador Luiz Rocha,MA
26,2104651,Governador Newton Bello,MA
27,2104677,Governador Nunes Freire,MA
28,2104701,Graça Aranha,MA
29,2104800,Grajaú,MA
30,2104909,Guimarães,MA
31,2105005,Humberto de Campos,MA
32,2105104,Icatu,MA
33,2105153,Igarapé do Meio,MA
34,2105203,Igarapé Grande,MA
35,2105302,Imperatriz,MA
36,2105351,Itaipava do Grajaú,MA
37,2105401,Itapecuru Mirim,MA
38,2105427,Itinga do Maranhão,MA
39,2105450,Jatobá,MA
40,2105476,Jenipapo dos Vieiras,MA
41,2105500,João Lisboa,MA
42,2105609,Joselândia,MA
43,2105658,Junco do Maranhão,MA
44,2105708,Lago da Pedra,MA
45,2105807,Lago do Junco,MA
46,2105906,Lago Verde,MA
47,2105922,Lagoa do Mato,MA
48,2105948,Lago dos Rodrigues,MA
49,2105963,Lagoa Grande do Maranhão,MA
50,2105989,Lajeado Novo,MA
51,2106003,Lima Campos,MA
52,2106102,Loreto,MA
53,2106201,Luís Domingues,MA
54,2106300,Magalhães de Almeida,MA
55,2106326,Maracaçumé,MA
56,2106359,Marajá do Sena,MA
57,2106375,Maranhãozinho,MA
58,2106409,Mata Roma,MA
59,2106508,Matinha,MA
60,2106607,Matões,MA
61,2106631,Matões do Norte,MA
62,2106672,Milagres do Maranhão,MA
63,2106706,Mirador,MA
64,2106755,Miranda do Norte,MA
65,2106805,Mirinzal,MA
66,2106904,Monção,MA
67,2107001,Montes Altos,MA
68,2107100,Morros,MA
69,2107209,Nina Rodrigues,MA
70,2107258,Nova Colinas,MA
71,2107308,Nova Iorque,MA
72,2107357,Nova Olinda do Maranhão,MA
73,2107407,Olho d'Água das Cunhãs,MA
74,2107456,Olinda Nova do Maranhão,MA
75,2107506,Paço do Lumiar,MA
76,2107605,Palmeirândia,MA
77,2107704,Paraibano,MA
78,2107803,Parnarama,MA
79,2107902,Passagem Franca,MA
80,2108009,Pastos Bons,MA
81,2108058,Paulino Neves,MA
82,2108108,Paulo Ramos,MA
83,2108207,Pedreiras,MA
84,2108256,Pedro do Rosário,MA
85,2108306,Penalva,MA
86,2108405,Peri Mirim,MA
87,2108454,Peritoró,MA
88,2108504,Pindaré-Mirim,MA
89,2108603,Pinheiro,MA
90,2616407,Vitória de Santo Antão,PE
91,2616506,Xexéu,PE
92,2700102,Água Branca,AL
93,2700201,Anadia,AL
94,2700300,Arapiraca,AL
95,2700409,Atalaia,AL
96,2700508,Barra de Santo Antônio,AL
97,2700607,Barra de São Miguel,AL
98,2700706,Batalha,AL
99,2700805,Belém,AL
100,2700904,Belo Monte,AL
101,2701001,Boca da Mata,AL
102,2701100,Branquinha,AL
103,2701209,Cacimbinhas,AL
104,2701308,Cajueiro,AL
105,2701357,Campestre,AL
106,2701407,Campo Alegre,AL
107,2701506,Campo Grande,AL
108,2701605,Canapi,AL
109,2701704,Capela,AL
110,2701803,Carneiros,AL
111,2701902,Chã Preta,AL
112,2702009,Coité do Nóia,AL
113,2702108,Colônia Leopoldina,AL
114,2702207,Coqueiro Seco,AL
115,2702306,Coruripe,AL
116,2702355,Craíbas,AL
117,2702405,Delmiro Gouveia,AL
118,2702504,Dois Riachos,AL
119,2702553,Estrela de Alagoas,AL
120,2702603,Feira Grande,AL
121,2702702,Feliz Deserto,AL
122,2702801,Flexeiras,AL
123,2702900,Girau do Ponciano,AL
124,2703007,Ibateguara,AL
125,2703106,Igaci,AL
126,2703205,Igreja Nova,AL
127,2703304,Inhapi,AL
128,2703403,Jacaré dos Homens,AL
129,2703502,Jacuípe,AL
130,2703601,Japaratinga,AL
131,2703700,Jaramataia,AL
132,2703759,Jequiá da Praia,AL
133,2703809,Joaquim Gomes,AL
134,2703908,Jundiá,AL
135,2704005,Junqueiro,AL
136,2704104,Lagoa da Canoa,AL
137,2704203,Limoeiro de Anadia,AL
138,2704302,Maceió,AL
139,2704401,Major Isidoro,AL
140,2704500,Maragogi,AL
141,2704609,Maravilha,AL
142,2704708,Marechal Deodoro,AL
143,2704807,Maribondo,AL
144,2704906,Mar Vermelho,AL
145,2705002,Mata Grande,AL
146,2705101,Matriz de Camaragibe,AL
147,2705200,Messias,AL
148,2705309,Minador do Negrão,AL
149,2705408,Monteirópolis,AL
150,2705507,Murici,AL
151,2705606,Novo Lino,AL
152,2705705,Olho d'Água das Flores,AL
